,name,price,image_url
0,104 Keycaps Colorful ABS Backlit Gaming Replacement Mechanical Keyboards,$15.89,https://i.ebayimg.com/thumbs/images/g/SVQAAOSwhU5fGQAD/s-l225.jpg
1,PBT Keycap Set 104 Translucent Backlit Key Cap for Mechanical Keyboards Cherry,$17.87,https://i.ebayimg.com/thumbs/images/g/HJsAAOSwIW1fGCmo/s-l225.jpg
2,PBT Keycap Set 104 Translucent Backlit Key Cap for Mechanical Keyboards Cherry,$19.22,https://i.ebayimg.com/thumbs/images/g/OjEAAOSwX3BfGPDB/s-l225.jpg
3,Griarrac Cherry MX Switch Tester Mechanical Keyboards 9-Key Switch Test NEW Open,$40.00,https://i.ebayimg.com/thumbs/images/g/N8MAAOSwwvpe877T/s-l225.jpg
4,PBT Keycap Suit 104 Translucent Backlit Key Cap For Cherry Mechanical Keyboards,$16.19 to $17.09,https://i.ebayimg.com/thumbs/images/g/oyQAAOSwf6NfEXwP/s-l225.jpg
5,"Keycaps / Key Sets  For Cherry MX Mechanical Keyboards, Backlit, PBT",$99.99,https://i.ebayimg.com/thumbs/images/g/8DIAAOSwNpNa5LoD/s-l225.jpg
6,Master Chief Keycap for Cherry MX Mechanical Keyboards,$16.00,https://i.ebayimg.com/thumbs/images/g/b44AAOSwFWhfGIJY/s-l225.jpg
7,"Double Shot Keycaps For Workstream Mechanical Keyboards, 104-Keys Set, Black",$15.99,https://i.ebayimg.com/thumbs/images/g/PQUAAOSwS7Beu2Hf/s-l225.jpg
8,Full Set Silver Double Shot Backlit Keycaps For Mechanical Keyboards,$47.00,https://i.ebayimg.com/thumbs/images/g/dwoAAOSw9BJfIEI2/s-l225.jpg
9,Glorious MX Switch Tester / Sample Pack for Mechanical Keyboards Includes: 14 Ga,$29.75,https://i.ebayimg.com/thumbs/images/g/LeQAAOSwN8heGQmR/s-l225.jpg
10,104 Keys PBT Keycaps Set Replacement OEM Profile Thick for Mechanical Keyboards,$30.39,https://i.ebayimg.com/thumbs/images/g/UgIAAOSwUu5fMjrA/s-l225.jpg
11,Sun Microsystems Oracle 320-1366 Wired Mechanical Keyboards,$19.99,https://i.ebayimg.com/thumbs/images/g/QxsAAOSwhtlc3cWb/s-l225.jpg
12,Magicforce 82 Black Mechanical Keyboards with Blue Backlight (USB wire Included),$65.00,https://i.ebayimg.com/thumbs/images/g/MzwAAOSwZPVee6VI/s-l225.jpg
13,104pcs Double Shot PBT Keycaps Replacement Keycap Set For Mechanical Keyboards,$21.99,https://i.ebayimg.com/thumbs/images/g/W9EAAOSw~n9e-bmP/s-l225.jpg
